Country,Monetary Unit,Date,Rate
Australia,Dollar,1-Jan-90,ND
Australia,Dollar,2-Jan-90,0.7855
Australia,Dollar,3-Jan-90,0.7818
Australia,Dollar,4-Jan-90,0.7867
Australia,Dollar,5-Jan-90,0.7860
Australia,Dollar,8-Jan-90,0.7849
Australia,Dollar,9-Jan-90,0.7866
Australia,Dollar,10-Jan-90,0.7886
Australia,Dollar,11-Jan-90,0.7910
Austria,Schilling,1-Jan-90,ND
Austria,Schilling,2-Jan-90,12.0125
Austria,Schilling,3-Jan-90,12.0900
Austria,Schilling,4-Jan-90,11.8460
Austria,Schilling,5-Jan-90,11.8100
Austria,Schilling,8-Jan-90,11.7525
Austria,Schilling,9-Jan-90,11.8350
Austria,Schilling,10-Jan-90,11.8225
Austria,Schilling,11-Jan-90,11.8550
Belgium,Franc,1-Jan-90,ND
Belgium,Franc,2-Jan-90,36.0500
Belgium,Franc,3-Jan-90,36.1800
Belgium,Franc,4-Jan-90,35.3600
Belgium,Franc,5-Jan-90,35.3000
Belgium,Franc,8-Jan-90,35.0200
Belgium,Franc,9-Jan-90,35.3100
Belgium,Franc,10-Jan-90,35.2100
Belgium,Franc,11-Jan-90,35.3100
Brazil,Real,1-Jan-90,ND
Brazil,Real,2-Jan-90,ND
Brazil,Real,3-Jan-90,ND
Brazil,Real,4-Jan-90,ND
Brazil,Real,5-Jan-90,ND
Brazil,Real,8-Jan-90,ND
Brazil,Real,9-Jan-90,ND
Brazil,Real,10-Jan-90,ND
Brazil,Real,11-Jan-90,ND
Canada,Dollar,1-Jan-90,ND
Canada,Dollar,2-Jan-90,1.1605
Canada,Dollar,3-Jan-90,1.1613
Canada,Dollar,4-Jan-90,1.1614
Canada,Dollar,5-Jan-90,1.1600
Canada,Dollar,8-Jan-90,1.1601
Canada,Dollar,9-Jan-90,1.1614
Canada,Dollar,10-Jan-90,1.1589
Canada,Dollar,11-Jan-90,1.1570
"China, P.R.",Yuan,1-Jan-90,ND
"China, P.R.",Yuan,2-Jan-90,4.7339
"China, P.R.",Yuan,3-Jan-90,4.7339
"China, P.R.",Yuan,4-Jan-90,4.7339
"China, P.R.",Yuan,5-Jan-90,4.7339
"China, P.R.",Yuan,8-Jan-90,4.7339
"China, P.R.",Yuan,9-Jan-90,4.7339
"China, P.R.",Yuan,10-Jan-90,4.7339
"China, P.R.",Yuan,11-Jan-90,4.7339
Denmark,Krone,1-Jan-90,ND
Denmark,Krone,2-Jan-90,6.6350
Denmark,Krone,3-Jan-90,6.6975
Denmark,Krone,4-Jan-90,6.5525
Denmark,Krone,5-Jan-90,6.5570
Denmark,Krone,8-Jan-90,6.4860
Denmark,Krone,9-Jan-90,6.5350
Denmark,Krone,10-Jan-90,6.5300
Denmark,Krone,11-Jan-90,6.5340
EMU member countries,Euro,1-Jan-90,ND
EMU member countries,Euro,2-Jan-90,ND
EMU member countries,Euro,3-Jan-90,ND
EMU member countries,Euro,4-Jan-90,ND
EMU member countries,Euro,5-Jan-90,ND
EMU member countries,Euro,8-Jan-90,ND
EMU member countries,Euro,9-Jan-90,ND
EMU member countries,Euro,10-Jan-90,ND
EMU member countries,Euro,11-Jan-90,ND
European Union,Ecu,1-Jan-90,ND
European Union,Ecu,2-Jan-90,1.1986
European Union,Ecu,3-Jan-90,1.1845
European Union,Ecu,4-Jan-90,1.1889
European Union,Ecu,5-Jan-90,1.1942
European Union,Ecu,8-Jan-90,1.2084
European Union,Ecu,9-Jan-90,1.2085
European Union,Ecu,10-Jan-90,1.2138
European Union,Ecu,11-Jan-90,1.2067
